id,qid1,qid2,question1,question2,is_duplicate,qID_Q1,part_of_speech_counter_Q1,number_of_numbers_Q1,number_of_words_Q1,length_of_longest_word_Q1,word2vec_mean_of_question_Q1,counter_question_words_Q1,th3_biggest_tfidf_Q1,qID_Q2,part_of_speech_counter_Q2,number_of_numbers_Q2,number_of_words_Q2,length_of_longest_word_Q2,word2vec_mean_of_question_Q2,counter_question_words_Q2,th3_biggest_tfidf_Q2,diff_between_number_of_words,diff_between_number_of_numbers,diff_between_length_of_longest_word,diff_between_counter_question_words,similarity_between_word2vec_mean_of_question,sum_diff_part_of_speech_counter,number_of_common_words,number_of_common_words_without_stopwords,both_containing_parenthesis
874,1743,1744,What are the best things to do on Halloween?,What do we need to have the best Halloween?,1,1743,"Counter({'WDT': 1, 'VBP': 1, 'DT': 1, 'JJS': 1, 'NNS': 1, 'TO': 1, 'VB': 1, 'IN': 1, 'NN': 1, '.': 1})",0,9,9,do,1,"{'best': 3.462785703046478, 'halloween': 8.190173521758819, 'things': 5.956581300251725}",1744,"Counter({'VBP': 2, 'WP': 1, 'PRP': 1, 'TO': 1, 'VB': 1, 'DT': 1, 'JJS': 1, 'NN': 1, '.': 1})",0,9,9,do,1,"{'best': 3.462785703046478, 'halloween': 8.190173521758819, 'need': 5.823049907627202}",0,0,0,0,1.0,4,6,3,0
875,1745,1746,"I wish to start investing in Equity and Mutual Funds. Where should I open Demat account for best rates, transaction charges and so on? I am NRI.",I am 17 and I want to invest money in stock market where should I start?,0,1745,"Counter({'NN': 5, 'JJ': 3, 'IN': 3, 'NNS': 3, '.': 3, 'VBP': 2, 'VB': 2, 'CC': 2, 'RB': 2, 'TO': 1, 'VBG': 1, 'WRB': 1, 'MD': 1, 'JJS': 1, ',': 1})",0,30,11,love_veronica_Mars,1,"{'demat': 8.595638629866983, 'investing': 8.190173521758819, 'nri': 8.190173521758819, 'rates': 8.190173521758819}",1746,"Counter({'NN': 5, 'VB': 3, 'VBP': 2, 'CD': 1, 'CC': 1, 'TO': 1, 'IN': 1, 'WRB': 1, 'MD': 1, '.': 1})",1,16,6,i,1,"{'17': 8.190173521758819, 'invest': 6.890890537628558, 'stock': 6.986200717432883}",14,1,5,0,0.6038904190063477,17,6,1,0
876,1747,1748,Why do companies issue bonus shares?,Why do company issue bonus shares?,1,1747,"Counter({'NNS': 2, 'WRB': 1, 'VBP': 1, 'VB': 1, 'CD': 1, '.': 1})",0,6,9,shares,1,"{'bonus': 8.190173521758819, 'issue': 6.986200717432883, 'shares': 7.6793478979928285}",1748,"Counter({'NN': 2, 'WRB': 1, 'VBP': 1, 'VB': 1, 'NNS': 1, '.': 1})",0,6,7,shares,1,"{'bonus': 8.190173521758819, 'issue': 6.986200717432883, 'shares': 7.6793478979928285}",0,0,2,0,1.0,2,5,4,0
877,1749,1750,How can changing 500 and 1000 rupee notes end the black money in India?,Do you think scrapping of 500 and 1000 rupee denominations is going to eradicate corruption?,1,1749,"Counter({'NN': 3, 'CD': 2, 'WRB': 1, 'MD': 1, 'VB': 1, 'CC': 1, 'NNS': 1, 'VBP': 1, 'DT': 1, 'JJ': 1, 'IN': 1, '.': 1})",2,14,8,rupee,1,"{'changing': 7.6793478979928285, 'end': 6.986200717432883, 'rupee': 6.803879160638928}",1750,"Counter({'VB': 2, 'VBG': 2, 'CD': 2, 'NN': 2, 'VBP': 1, 'PRP': 1, 'IN': 1, 'CC': 1, 'NNS': 1, 'VBZ': 1, 'TO': 1, '.': 1})",2,15,13,spokeswoman_Ewa_Malmborg,0,"{'corruption': 8.190173521758819, 'denominations': 8.190173521758819, 'eradicate': 8.595638629866983}",1,0,5,1,0.2408997118473053,6,4,3,0
878,1751,1752,"What should I major in (College) that won't leave me unemployed (other than Engineering, Law, Medicine)?",What should I do in a Group discussion when others keep fighting and won't let me talk even after I ask them to let me?,0,1751,"Counter({'NN': 4, 'JJ': 3, 'MD': 2, 'VB': 2, 'IN': 2, '(': 2, ')': 2, ',': 2, 'WP': 1, 'WDT': 1, 'RB': 1, 'PRP': 1, '.': 1})",0,22,11,sanctuary_DellaBianca,1,"{'(': 8.811967775681115, ')': 9.002588135289766, 'unemployed': 8.595638629866983}",1752,"Counter({'VB': 4, 'VBP': 3, 'NN': 3, 'PRP': 3, 'MD': 2, 'IN': 2, 'RB': 2, 'WP': 1, 'DT': 1, 'WRB': 1, 'NNS': 1, 'CC': 1, 'JJ': 1, 'TO': 1, '.': 1})",0,25,10,do,2,"{'discussion': 8.190173521758819, 'fighting': 8.595638629866983, 'let': 15.358695795985657}",3,0,1,1,0.5288291573524475,15,6,2,0
879,1753,1754,Who are the best custom kiosk manufacturers in India?,Who is the best manufacturer of customized kiosk in India?,0,1753,"Counter({'NN': 3, 'WP': 1, 'VBP': 1, 'DT': 1, 'JJS': 1, 'NNS': 1, 'IN': 1, '.': 1})",0,9,13,There_Meineke_muffler,1,"{'custom': 8.190173521758819, 'kiosk': 8.190173521758819, 'manufacturers': 8.595638629866983}",1754,"Counter({'NN': 3, 'IN': 2, 'WP': 1, 'VBZ': 1, 'DT': 1, 'JJS': 1, 'JJ': 1, '.': 1})",0,10,12,customized,1,"{'customized': 7.902491449307038, 'kiosk': 8.190173521758819, 'manufacturer': 8.595638629866983}",1,0,1,0,0.2781289219856262,3,6,4,0
880,1755,1756,Are there any telescopes powerful enough to view evidence left behind from NASA's moon landings?,"Do we have telescopes powerful enough nowadays to see the man-made objects left on the moon by the Apollo missions, proving 100% that humans did in fact land there?",1,1755,"Counter({'NN': 3, 'NNS': 2, 'IN': 2, 'VBP': 1, 'EX': 1, 'DT': 1, 'JJ': 1, 'RB': 1, 'TO': 1, 'VB': 1, 'VBD': 1, 'POS': 1, '.': 1})",0,15,10,Libra_constellation_Vogt,0,"{'landings': 8.595638629866983, ""nasa's"": 8.595638629866983, 'telescopes': 7.6793478979928285}",1756,"Counter({'NNS': 4, 'NN': 4, 'JJ': 3, 'DT': 3, 'IN': 3, 'VBP': 2, 'RB': 2, 'PRP': 1, 'TO': 1, 'VB': 1, 'VBN': 1, ',': 1, 'VBG': 1, 'CD': 1, 'WDT': 1, 'VBZ': 1, 'VBD': 1, '.': 1})",0,31,10,%_#F########_9v.jsn,0,"{'apollo': 8.595638629866983, 'man-made': 8.595638629866983, 'missions': 8.595638629866983, 'nowadays': 8.595638629866983}",16,0,0,0,0.6115918159484863,12,6,5,0
881,1757,1758,Is there any architectural complex/center/forum/hub anywhere in the world? As a third space.,Is there any online software available for calculating the time and space complexity of a Java program in Big O?,0,1757,"Counter({'DT': 3, 'NN': 3, 'JJ': 2, 'IN': 2, '.': 2, 'VBZ': 1, 'EX': 1, 'RB': 1})",0,20,13,%_#F########_9v.jsn,0,"{'/': 14.758013873879722, 'architectural': 8.595638629866983, 'complex': 8.595638629866983, 'hub': 8.595638629866983}",1758,"Counter({'NN': 7, 'DT': 3, 'JJ': 3, 'IN': 3, 'VBZ': 1, 'EX': 1, 'VBG': 1, 'CC': 1, '.': 1})",0,20,11,BY_ANDY_THOMPSON,0,"{'calculating': 7.6793478979928285, 'complexity': 8.190173521758819, 'o': 8.595638629866983}",0,0,2,0,0.6834917068481445,8,6,1,0
882,1759,1760,How many keywords are there in AutoHotkey Scripting Programming Language in the latest version?,How many keywords are there in AutoIt script programming language in the latest version?,0,1759,"Counter({'JJ': 2, 'IN': 2, 'VBG': 2, 'NN': 2, 'WRB': 1, 'NNS': 1, 'VBP': 1, 'RB': 1, 'DT': 1, 'JJS': 1, '.': 1})",0,14,11,Reitman_rewrote,1,"{'autohotkey': 8.595638629866983, 'keywords': 8.190173521758819, 'scripting': 8.595638629866983}",1760,"Counter({'NN': 3, 'JJ': 2, 'IN': 2, 'WRB': 1, 'NNS': 1, 'VBP': 1, 'RB': 1, 'VBG': 1, 'DT': 1, 'JJS': 1, '.': 1})",0,14,11,Reitman_rewrote,1,"{'autoit': 8.595638629866983, 'keywords': 8.190173521758819, 'script': 8.595638629866983}",0,0,0,0,1.0,2,9,5,0
883,1761,1762,What is the hardest thing(s) about raising children in Ukraine?,What is the hardest thing(s) about raising children in Mexico?,0,1761,"Counter({'NN': 2, 'IN': 2, 'WP': 1, 'VBZ': 1, 'DT': 1, 'JJS': 1, '(': 1, 'PRP': 1, ')': 1, 'VBG': 1, 'NNS': 1, '.': 1})",0,13,8,pioneer_LaLanne,1,"{'hardest': 7.497026341198874, 'raising': 8.190173521758819, 'ukraine': 8.595638629866983}",1762,"Counter({'NN': 2, 'IN': 2, 'WP': 1, 'VBZ': 1, 'DT': 1, 'JJS': 1, '(': 1, 'PRP': 1, ')': 1, 'VBG': 1, 'NNS': 1, '.': 1})",0,13,8,pioneer_LaLanne,1,"{'hardest': 7.497026341198874, 'mexico': 7.209344268747093, 'raising': 8.190173521758819}",0,0,0,0,1.0,0,9,5,1
884,1763,1764,What is the best source to learn stock market online?,What is the best presentation software for you tube video making (both paid and free)?,0,1763,"Counter({'NN': 4, 'WP': 1, 'VBZ': 1, 'DT': 1, 'JJS': 1, 'TO': 1, 'VB': 1, '.': 1})",0,10,6,By_Jonas_Elmerraji,1,"{'market': 6.803879160638928, 'source': 6.986200717432883, 'stock': 6.986200717432883}",1764,"Counter({'NN': 3, 'DT': 2, 'JJ': 2, 'WP': 1, 'VBZ': 1, 'JJS': 1, 'IN': 1, 'PRP': 1, 'VBP': 1, '(': 1, 'VBN': 1, 'CC': 1, ')': 1, '.': 1})",0,17,12,%_#F########_9v.jsn,1,"{'paid': 7.3428756613716155, 'presentation': 8.190173521758819, 'tube': 8.595638629866983}",7,0,6,0,0.8263021111488342,4,4,2,0
885,1765,1766,Why does India sabotage and badmouth all economic projects which its neighbouring counries have in the world?,Why does India always sabotage and badmouth all economic projects Pakistan have with other countries in the world?,0,1765,"Counter({'NN': 4, 'DT': 2, 'NNS': 2, 'WRB': 1, 'VBZ': 1, 'VB': 1, 'CC': 1, 'JJ': 1, 'WDT': 1, 'PRP$': 1, 'VBP': 1, 'IN': 1, '.': 1})",0,17,12,By_Laurelle_Gilbert,2,"{'badmouth': 8.190173521758819, 'counries': 8.595638629866983, 'economic': 8.190173521758819, 'neighbouring': 8.190173521758819, 'sabotage': 8.190173521758819}",1766,"Counter({'NN': 3, 'DT': 2, 'JJ': 2, 'NNS': 2, 'VBP': 2, 'IN': 2, 'WRB': 1, 'VBZ': 1, 'VB': 1, 'RB': 1, 'CC': 1, '.': 1})",0,18,9,By_Christine_Fenno,1,"{'badmouth': 8.190173521758819, 'economic': 8.190173521758819, 'sabotage': 8.190173521758819}",1,0,3,1,0.881894588470459,6,13,7,0
886,1767,1768,What does a wet vagina feel like for a man?,Why does it feel like there is a ball in my vagina?,0,1767,"Counter({'NN': 3, 'DT': 2, 'IN': 2, 'WDT': 1, 'VBZ': 1, 'JJ': 1, '.': 1})",0,10,6,Hey_how'd,1,"{'man': 6.803879160638928, 'vagina': 7.497026341198874, 'wet': 8.190173521758819}",1768,"Counter({'VBZ': 2, 'IN': 2, 'NN': 2, 'WRB': 1, 'PRP': 1, 'VB': 1, 'EX': 1, 'DT': 1, 'PRP$': 1, '.': 1})",0,12,6,SERENA_WILLIAMS_Well,1,"{'ball': 7.6793478979928285, 'feel': 5.575213743722621, 'vagina': 7.497026341198874}",2,0,0,0,0.5955252647399902,5,4,2,0
887,1769,1770,Will Thursday Night Football increase ratings for CBS on Thursday nights rather than the Big Bang Theory?,Why is The Big Bang Theory (TV series) so popular? Why is it so popular with mainstream viewers?,0,1769,"Counter({'NN': 6, 'IN': 3, 'NNS': 2, 'JJ': 2, 'MD': 1, 'VB': 1, 'RB': 1, 'DT': 1, '.': 1})",0,17,8,thursday,0,"{'cbs': 8.595638629866983, 'football': 8.595638629866983, 'ratings': 8.595638629866983, 'thursday': 17.191277259733965}",1770,"Counter({'JJ': 5, 'NN': 3, 'WRB': 2, 'VBZ': 2, 'IN': 2, '.': 2, 'DT': 1, '(': 1, ')': 1, 'PRP': 1, 'RB': 1, 'NNS': 1})",0,21,10,why,2,"{'mainstream': 8.190173521758819, 'popular': 14.418688537494186, 'viewers': 8.595638629866983}",4,0,2,2,0.10203642398118973,11,2,2,0
888,1771,1772,How can I grow taller at 17?,How can you increase your height?,0,1771,"Counter({'VB': 2, 'WRB': 1, 'MD': 1, 'NN': 1, 'IN': 1, 'CD': 1, '.': 1})",0,7,6,taller,1,"{'17': 8.190173521758819, 'grow': 7.6793478979928285, 'taller': 8.190173521758819}",1772,"Counter({'WRB': 1, 'MD': 1, 'PRP': 1, 'VB': 1, 'PRP$': 1, 'NN': 1, '.': 1})",0,6,8,you,1,"{'?': 1.0007542426504639, 'height': 7.209344268747093, 'increase': 6.344346831260488}",1,0,2,0,0.0765971764922142,3,2,1,0
889,1773,1774,Have you ever been fired?,Have you ever been fired? How did you deal with it?,1,1773,"Counter({'VBN': 2, 'VB': 1, 'PRP': 1, 'RB': 1, '.': 1})",0,5,5,'ve,0,"{'?': 1.0007542426504639, 'fired': 7.6793478979928285}",1774,"Counter({'PRP': 3, 'VB': 2, 'VBN': 2, '.': 2, 'RB': 1, 'WRB': 1, 'VBD': 1, 'IN': 1})",0,12,5,do,1,"{'deal': 6.803879160638928, 'did': 4.703818331756357, 'fired': 7.6793478979928285}",7,0,0,1,0.42223381996154785,4,5,3,0
890,1775,1776,How on earth would I dress like a workout guy from the year 1990 in the summer?,How would I dress like a workout guru from the year 1990 in the summer?,1,1775,"Counter({'NN': 6, 'IN': 4, 'DT': 3, 'WRB': 1, 'MD': 1, 'VB': 1, 'CD': 1, '.': 1})",1,17,7,just,1,"{'1990': 8.190173521758819, 'dress': 7.902491449307038, 'workout': 8.190173521758819}",1776,"Counter({'NN': 5, 'IN': 3, 'DT': 3, 'WRB': 1, 'MD': 1, 'VB': 1, 'CD': 1, '.': 1})",1,15,7,pioneer_LaLanne,1,"{'1990': 8.190173521758819, 'guru': 8.595638629866983, 'workout': 8.190173521758819}",2,0,0,0,0.5664002895355225,2,13,9,0
891,1777,1778,My girlfriend has stopped talking to me. What should I do?,My girlfriend is not talking to me. What should I do?,1,1777,"Counter({'.': 2, 'VB': 2, 'PRP$': 1, 'NN': 1, 'VBZ': 1, 'VBN': 1, 'VBG': 1, 'TO': 1, 'PRP': 1, 'WP': 1, 'MD': 1})",0,12,10,I,1,"{'girlfriend': 6.64972848081167, 'stopped': 8.595638629866983, 'talking': 7.209344268747093}",1778,"Counter({'.': 2, 'VB': 2, 'PRP$': 1, 'NN': 1, 'VBZ': 1, 'RB': 1, 'VBG': 1, 'TO': 1, 'PRP': 1, 'WP': 1, 'MD': 1})",0,12,10,I,1,"{'.': 3.895158264074567, 'girlfriend': 6.64972848081167, 'talking': 7.209344268747093}",0,0,0,0,1.0,1,9,7,0
892,1779,1780,What will the real estate look like now after the 500 and 1000 scraping?,How will abolishing Rs. 500 and Rs. 1000 notes affect the real estate businesses in India?,1,1779,"Counter({'DT': 2, 'NN': 2, 'IN': 2, 'CD': 2, 'WDT': 1, 'MD': 1, 'JJ': 1, 'VBP': 1, 'RB': 1, 'CC': 1, '.': 1})",2,14,8,just,1,"{'estate': 6.986200717432883, 'look': 6.5807356093247185, 'scraping': 7.902491449307038}",1780,"Counter({'.': 3, 'NN': 3, 'CD': 2, 'NNS': 2, 'WRB': 1, 'MD': 1, 'VBG': 1, 'VB': 1, 'CC': 1, 'VBP': 1, 'DT': 1, 'JJ': 1, 'IN': 1})",2,18,10,rs,1,"{'abolishing': 8.190173521758819, 'businesses': 7.902491449307038, 'rs': 13.032394176374295}",4,0,2,0,0.13344404101371765,7,7,4,0
893,1781,1782,What are the best interview questions ever asked?,What are the best interview questions to ask?,1,1781,"Counter({'WDT': 1, 'VBP': 1, 'DT': 1, 'JJS': 1, 'NN': 1, 'NNS': 1, 'RB': 1, 'VBD': 1, '.': 1})",0,8,9,what,1,"{'asked': 7.209344268747093, 'interview': 6.723836452965392, 'questions': 5.792278248960448}",1782,"Counter({'WDT': 1, 'VBP': 1, 'DT': 1, 'JJS': 1, 'NN': 1, 'NNS': 1, 'TO': 1, 'VB': 1, '.': 1})",0,8,9,ask,1,"{'ask': 5.956581300251725, 'interview': 6.723836452965392, 'questions': 5.792278248960448}",0,0,0,0,0.37820184230804443,2,6,4,0
894,1783,1784,I trust people very quickly and as a result always have been betrayed? What do I do not to trust people and still hold the relation simple?,Do you think trusting other people is wise enough after being betrayed by someone else?,0,1783,"Counter({'RB': 5, 'VBP': 4, 'NN': 3, 'VB': 3, 'NNS': 2, 'CC': 2, 'DT': 2, 'VBN': 2, '.': 2, 'JJ': 1, 'IN': 1, 'WP': 1, 'TO': 1})",0,28,8,do,1,"{'people': 9.367231248877674, 'result': 8.190173521758819, 'trust': 14.418688537494186}",1784,"Counter({'VBG': 2, 'JJ': 2, 'RB': 2, 'IN': 2, 'VBP': 1, 'PRP': 1, 'VB': 1, 'NNS': 1, 'VBZ': 1, 'VBN': 1, 'NN': 1, '.': 1})",0,15,8,do,0,"{'betrayed': 7.902491449307038, 'trusting': 8.190173521758819, 'wise': 8.595638629866983}",13,0,0,1,1.0,21,1,1,0
895,1785,1786,Who are the best headhunters in Mumbai?,Who are the best headhunters?,0,1785,"Counter({'WP': 1, 'VBP': 1, 'DT': 1, 'JJS': 1, 'NNS': 1, 'IN': 1, 'NN': 1, '.': 1})",0,7,11,headhunters,1,"{'best': 3.462785703046478, 'headhunters': 8.190173521758819, 'mumbai': 7.091561233090709}",1786,"Counter({'WP': 1, 'VBP': 1, 'DT': 1, 'JJS': 1, 'NNS': 1, '.': 1})",0,5,11,headhunters,1,"{'?': 1.0007542426504639, 'best': 3.462785703046478, 'headhunters': 8.190173521758819}",2,0,0,0,1.0,2,4,2,0
896,1787,1788,What is the DHP vaccine for dogs for? Is it necessary?,Can rabies vaccine for humans be used for dog?,0,1787,"Counter({'VBZ': 2, 'JJ': 2, 'IN': 2, '.': 2, 'WP': 1, 'DT': 1, 'NN': 1, 'NNS': 1, 'PRP': 1})",0,12,9,is,1,"{'dhp': 8.595638629866983, 'necessary': 7.497026341198874, 'vaccine': 7.902491449307038}",1788,"Counter({'NNS': 2, 'VB': 2, 'IN': 2, 'MD': 1, 'VBN': 1, 'NN': 1, '.': 1})",0,9,7,rabies,0,"{'dog': 7.091561233090709, 'rabies': 7.902491449307038, 'vaccine': 7.902491449307038}",3,0,2,1,0.022878317162394524,9,2,1,0
897,1789,1790,What are the differences between Asia and Africa? What are the similarities?,What is difference between Cableway and Ropeway?,0,1789,"Counter({'WDT': 2, 'VBP': 2, 'DT': 2, 'NNS': 2, '.': 2, 'IN': 1, 'NN': 1, 'CC': 1, 'VB': 1})",0,13,12,differences,2,"{'africa': 8.190173521758819, 'asia': 8.595638629866983, 'similarities': 8.190173521758819}",1790,"Counter({'NN': 3, 'WP': 1, 'VBZ': 1, 'IN': 1, 'CC': 1, '.': 1})",0,7,10,ropeway,1,"{'cableway': 8.595638629866983, 'difference': 5.114398540531291, 'ropeway': 8.595638629866983}",6,0,2,1,-0.006959284655749798,12,3,1,0
898,1791,1792,Has wizard magic been scientifically tested?,Have mages been scientifically tested?,1,1791,"Counter({'VBN': 3, 'RB': 2, 'VBZ': 1, '.': 1})",0,6,14,scientifically,0,"{'magic': 7.497026341198874, 'scientifically': 7.497026341198874, 'tested': 7.6793478979928285, 'wizard': 8.595638629866983}",1792,"Counter({'VBN': 2, 'VBP': 1, 'NNS': 1, 'RB': 1, '.': 1})",0,5,14,scientifically,0,"{'mages': 8.595638629866983, 'scientifically': 7.497026341198874, 'tested': 7.6793478979928285}",1,0,0,0,0.9999999403953552,3,3,2,0
899,1793,1794,Why is contract law important?,Why is maritime law so important?,0,1793,"Counter({'NN': 2, 'WRB': 1, 'VBZ': 1, 'JJ': 1, '.': 1})",0,5,9,contract,1,"{'contract': 7.6793478979928285, 'important': 6.110731980078983, 'law': 6.890890537628558}",1794,"Counter({'JJ': 2, 'WRB': 1, 'VBZ': 1, 'NN': 1, 'RB': 1, '.': 1})",0,6,9,why,1,"{'important': 6.110731980078983, 'law': 6.890890537628558, 'maritime': 8.595638629866983}",1,0,0,0,0.11285249888896942,2,4,3,0
900,1795,1796,When will moto G3 (Moto G 3rd gen 2015) get Android 7.0 (Nougat) update?,How long will I get OS updates on moto g3?,0,1795,"Counter({'NN': 5, 'CD': 3, 'VB': 2, '(': 2, 'JJ': 2, ')': 2, 'WRB': 1, 'MD': 1, '.': 1})",0,18,7,moto,1,"{'(': 8.811967775681115, ')': 9.002588135289766, 'moto': 15.804982898614076}",1796,"Counter({'JJ': 2, 'VB': 2, 'NN': 2, 'WRB': 1, 'MD': 1, 'NNS': 1, 'IN': 1, '.': 1})",0,10,7,google_chrome,1,"{'g3': 8.190173521758819, 'moto': 7.902491449307038, 'os': 8.595638629866983}",8,0,0,0,0.18097573518753052,10,3,2,0
901,1797,1798,Prove that SNR of power = (SNR of voltage) sequare?,Do you get paid when you do fight companions on the JRE or is it just for fun/exposure?,0,1797,"Counter({'NN': 5, 'IN': 2, 'VB': 1, 'DT': 1, 'NNP': 1, '(': 1, ')': 1, '.': 1})",0,12,7,snr,0,"{'sequare': 8.595638629866983, 'snr': 17.191277259733965, 'voltage': 8.595638629866983}",1798,"Counter({'PRP': 3, 'VB': 2, 'IN': 2, 'NN': 2, 'VBN': 1, 'WRB': 1, 'VBP': 1, 'JJ': 1, 'NNS': 1, 'DT': 1, 'CC': 1, 'VBZ': 1, 'RB': 1, '.': 1})",0,20,10,do,1,"{'companions': 8.595638629866983, 'exposure': 8.190173521758819, 'jre': 8.595638629866983}",8,0,3,1,0.002140035852789879,7,0,0,0
902,1799,1800,What are the best riddles by the Riddler (Batman)?,Who was the best villain in the Nolan Batman films?,0,1799,"Counter({'DT': 2, 'NN': 2, 'WDT': 1, 'VBP': 1, 'JJS': 1, 'NNS': 1, 'IN': 1, '(': 1, ')': 1, '.': 1})",0,11,7,riddles,1,"{'batman': 7.209344268747093, 'riddler': 8.595638629866983, 'riddles': 8.595638629866983}",1800,"Counter({'DT': 2, 'NN': 2, 'WP': 1, 'VBD': 1, 'JJS': 1, 'IN': 1, 'JJ': 1, 'NNS': 1, '.': 1})",0,10,7,batman,1,"{'batman': 7.209344268747093, 'films': 7.209344268747093, 'nolan': 8.595638629866983, 'villain': 7.902491449307038}",1,0,0,0,0.22677293419837952,4,2,1,0
903,1801,1802,Why there is so much nudity content in Game of Thrones?,Why is there so much nudity in the Game of Thrones TV Series?,1,1801,"Counter({'NN': 3, 'IN': 2, 'WRB': 1, 'EX': 1, 'VBZ': 1, 'RB': 1, 'JJ': 1, 'NNS': 1, '.': 1})",0,11,7,destruction_Billiot,1,"{'content': 7.3428756613716155, 'nudity': 8.190173521758819, 'thrones': 7.6793478979928285}",1802,"Counter({'NN': 4, 'RB': 2, 'IN': 2, 'WRB': 1, 'VBZ': 1, 'JJ': 1, 'DT': 1, 'NNS': 1, '.': 1})",0,13,7,KIM_CLIJSTERS_Yeah,1,"{'game': 6.986200717432883, 'nudity': 8.190173521758819, 'thrones': 7.6793478979928285}",2,0,0,0,0.6795949935913086,3,9,4,0
904,1803,1804,How can I get followers and comments on my blog?,How can i get more follower on my blog?,1,1803,"Counter({'VB': 2, 'NNS': 2, 'WRB': 1, 'MD': 1, 'CC': 1, 'IN': 1, 'PRP$': 1, 'NN': 1, '.': 1})",0,10,9,follow_BarkBoard.com_via,1,"{'blog': 7.209344268747093, 'comments': 7.497026341198874, 'followers': 7.3428756613716155}",1804,"Counter({'VB': 2, 'NN': 2, 'WRB': 1, 'MD': 1, 'JJR': 1, 'IN': 1, 'PRP$': 1, '.': 1})",0,9,8,I,1,"{'?': 1.0007542426504639, 'blog': 7.209344268747093, 'follower': 8.595638629866983}",1,0,1,0,0.33854660391807556,4,6,3,0
905,1805,1806,I have only 2 months for my CA CPT exams how do I prepare?,I want to crack CA CPT in 2 months. How should I study?,1,1805,"Counter({'VB': 5, 'NN': 1, 'VBP': 1, 'RB': 1, 'CD': 1, 'NNS': 1, 'IN': 1, 'PRP$': 1, 'MD': 1, 'WRB': 1, '.': 1})",1,14,7,love_veronica_Mars,1,"{'ca': 6.803879160638928, 'cpt': 7.902491449307038, 'exams': 7.497026341198874}",1806,"Counter({'VB': 3, 'NN': 2, 'MD': 2, '.': 2, 'VBP': 1, 'TO': 1, 'IN': 1, 'CD': 1, 'NNS': 1, 'WRB': 1})",1,14,6,love_veronica_Mars,1,"{'ca': 6.803879160638928, 'cpt': 7.902491449307038, 'crack': 8.190173521758819}",0,0,1,0,1.0,7,4,4,0
906,1807,1808,What programming language should I learn if I want to do a 2D MMORPG game?,Which programming language should I learn if I want to develop gaming apps?,1,1807,"Counter({'NN': 4, 'VB': 2, 'WP': 1, 'VBG': 1, 'MD': 1, 'IN': 1, 'JJ': 1, 'VBP': 1, 'TO': 1, 'DT': 1, 'CD': 1, '.': 1})",0,15,11,Iā,1,"{'2d': 8.595638629866983, 'game': 6.986200717432883, 'mmorpg': 8.595638629866983}",1808,"Counter({'VBG': 2, 'NN': 2, 'VB': 2, 'WDT': 1, 'MD': 1, 'IN': 1, 'JJ': 1, 'VBP': 1, 'TO': 1, 'NNS': 1, '.': 1})",0,13,11,Cons_Expensive,1,"{'apps': 6.890890537628558, 'develop': 7.209344268747093, 'gaming': 7.6793478979928285}",2,0,0,0,0.41076165437698364,6,8,5,0
907,1809,1810,What is your view on the recent demonetization in India?,What are your views on demonetization of ₹500 & ₹1000 notes in India?,1,1809,"Counter({'NN': 3, 'IN': 2, 'WP': 1, 'VBZ': 1, 'PRP$': 1, 'DT': 1, 'JJ': 1, '.': 1})",0,10,14,the,1,"{'demonetization': 7.3428756613716155, 'recent': 7.6793478979928285, 'view': 6.890890537628558}",1810,"Counter({'IN': 3, 'NNS': 2, 'NN': 2, 'NNP': 2, 'WDT': 1, 'VBP': 1, 'PRP$': 1, 'CC': 1, '.': 1})",0,15,14,SYVJ,1,"{'demonetization': 7.3428756613716155, 'views': 6.890890537628558, '₹': 15.358695795985657}",5,0,0,0,0.24139529466629028,6,6,3,0
908,1811,1812,Why was cyrus mistry removed?,Why TATA sons replaced Cyrus Mistry to Ratan TATA?,1,1811,"Counter({'VBD': 2, 'NN': 2, 'WRB': 1, '.': 1})",0,5,7,removed,1,"{'cyrus': 7.6793478979928285, 'mistry': 7.6793478979928285, 'removed': 8.190173521758819}",1812,"Counter({'NNS': 3, 'WRB': 1, 'VBD': 1, 'JJ': 1, 'NN': 1, 'TO': 1, 'VB': 1, '.': 1})",0,9,8,tata,1,"{'ratan': 8.595638629866983, 'replaced': 8.595638629866983, 'tata': 15.804982898614076}",4,0,1,0,-0.029938720166683197,2,1,1,0
909,1813,1814,How do you cancel USAA auto insurance?,Auto insurance Broker fee in CALIFORNIA?,0,1813,"Counter({'VB': 2, 'NN': 2, 'WRB': 1, 'PRP': 1, 'JJ': 1, '.': 1})",0,7,9,do,1,"{'cancel': 7.6793478979928285, 'insurance': 7.902491449307038, 'usaa': 8.595638629866983}",1814,"Counter({'NN': 5, 'IN': 1, '.': 1})",0,6,10,insurance,0,"{'broker': 8.595638629866983, 'fee': 8.595638629866983, 'insurance': 7.902491449307038}",1,0,1,1,0.16230325400829315,8,0,0,0
910,1815,1816,Why have I been so angry lately?,Why am I so angry?,0,1815,"Counter({'VBN': 2, 'RB': 2, 'WRB': 1, 'VBP': 1, 'JJ': 1, '.': 1})",0,7,6,lately,1,"{'?': 1.0007542426504639, 'angry': 7.6793478979928285, 'lately': 8.190173521758819}",1816,"Counter({'RB': 2, 'WRB': 1, 'VBP': 1, 'JJ': 1, '.': 1})",0,5,5,I,1,"{'?': 1.0007542426504639, 'angry': 7.6793478979928285}",2,0,1,0,0.25952115654945374,2,3,2,0
